Date : 2020-05-15 18:50:10
Directory : /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum
Total : 73 files,  17916 codes, 4 comments, 562 blanks, all 18482 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/order_nav_bar.scss       | SCSS       |          6 |          0 |          0 |          6 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/product.scss             | SCSS       |        178 |          0 |         40 |        218 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/product_menu.scss        | SCSS       |        105 |          0 |         28 |        133 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/quantity_selector.scss   | SCSS       |         45 |          0 |         13 |         58 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/sanitary.scss                  | SCSS       |         29 |          0 |          6 |         35 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/story/capernaum_section.scss   | SCSS       |         21 |          0 |          4 |         25 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/story/timeline_section.scss    | SCSS       |          8 |          0 |          2 |         10 |
| /Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/story/who_section.scss         | SCSS       |         32 |          0 |          4 |         36 |
| Total                                                                                                      |            |     17,916 |          4 |        562 |     18,482 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
