"filename", "language", "JSON", "Markdown", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/anything_section.scss", "SCSS", 0, 0, 0, 20, 0, 0, 3, 23
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/coffee_section.scss", "SCSS", 0, 0, 0, 31, 0, 0, 6, 37
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/gift_section.scss", "SCSS", 0, 0, 0, 31, 0, 0, 5, 36
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/partner_section.scss", "SCSS", 0, 0, 0, 125, 0, 0, 35, 160
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/sanitation_section.scss", "SCSS", 0, 0, 0, 20, 0, 0, 4, 24
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/index/top_section.scss", "SCSS", 0, 0, 0, 54, 0, 0, 13, 67
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/movement.scss", "SCSS", 0, 0, 0, 58, 0, 0, 14, 72
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/nav_bar.scss", "SCSS", 0, 0, 0, 39, 0, 0, 11, 50
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/local_partners.scss", "SCSS", 0, 0, 0, 78, 0, 0, 19, 97
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/order_instructions.scss", "SCSS", 0, 0, 0, 41, 0, 0, 9, 50
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/order_nav_bar.scss", "SCSS", 0, 0, 0, 6, 0, 0, 0, 6
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/product.scss", "SCSS", 0, 0, 0, 178, 0, 0, 40, 218
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/product_menu.scss", "SCSS", 0, 0, 0, 105, 0, 0, 28, 133
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/order/quantity_selector.scss", "SCSS", 0, 0, 0, 45, 0, 0, 13, 58
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/sanitary.scss", "SCSS", 0, 0, 0, 29, 0, 0, 6, 35
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/story/capernaum_section.scss", "SCSS", 0, 0, 0, 21, 0, 0, 4, 25
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/story/timeline_section.scss", "SCSS", 0, 0, 0, 8, 0, 0, 2, 10
"/Users/jacobhoekert/programming/ChangingCapernaum/changing-capernaum/styles/story/who_section.scss", "SCSS", 0, 0, 0, 32, 0, 0, 4, 36
"Total", "-", 13167, 18, 3209, 1512, 10, 4, 562, 18482
